Wall time,Step,Value
1659838791.8589923,49152,101.0999984741211
1659838882.508122,98304,190.64999389648438
1659838927.6530757,122880,113.19000244140625
1659838942.50193,131072,66.19999694824219
1659838987.9382646,155648,210.42999267578125
1659839079.1497135,204800,264.04998779296875
1659839260.1087399,303104,210.75999450683594
1659839320.2303524,335872,175.75999450683594
1659839350.3973975,352256,212.32000732421875
1659839380.7204514,368640,191.85000610351562
1659839395.8725684,376832,247.36000061035156
1659839425.9844368,393216,231.82000732421875
1659839516.404497,442368,278.260009765625
1659839531.346253,450560,223.63999938964844
1659839546.354938,458752,228.88999938964844
1659839561.5977135,466944,291.25
1659839697.0415606,540672,288.9599914550781
1659839742.2744005,565248,233.5500030517578
1659839787.6218743,589824,269.42999267578125
1659839802.7653484,598016,231.44000244140625
1659839817.9760187,606208,253.75
1659839833.1029212,614400,276.55999755859375
1659839908.665754,655360,281.29998779296875
1659840029.8553238,720896,280.5199890136719
1659840044.772142,729088,311.7900085449219
1659840135.3882093,778240,286.3399963378906
1659840256.608812,843776,289.07000732421875
1659840302.1547112,868352,289.1600036621094
1659840317.261007,876544,286.6000061035156
1659840423.200987,933888,323.92999267578125
1659840499.041463,974848,249.6199951171875
1659840620.2791562,1040384,326.7099914550781
1659840665.766952,1064960,320.1700134277344
1659840680.961287,1073152,343.489990234375
1659840817.6370287,1146880,270.6499938964844
1659840848.1386683,1163264,229.32000732421875
1659840863.3780546,1171456,256.69000244140625
1659840878.5894551,1179648,300.7200012207031
1659840984.741537,1236992,223.69000244140625
1659841060.6200907,1277952,227.5800018310547
1659841090.8418655,1294336,297.8500061035156
1659841105.8238726,1302528,207.41000366210938
1659841166.3263834,1335296,269.7300109863281
1659841241.9768977,1376256,249.75999450683594
1659841257.1308005,1384448,273.30999755859375
1659841302.8007383,1409024,250.75
1659841393.812531,1458176,277.20001220703125
1659841408.9444666,1466368,242.5800018310547
1659841439.2388089,1482752,298.05999755859375
1659841485.0162776,1507328,310.2900085449219
1659841515.2758062,1523712,264.7300109863281
1659841530.3892312,1531904,264.2699890136719
1659841560.7412598,1548288,313.80999755859375
1659841590.9019754,1564672,290.4800109863281
1659841606.0822654,1572864,279.4700012207031
1659841712.0415568,1630208,242.36000061035156
1659841833.6757078,1695744,290.82000732421875
1659841848.8845155,1703936,276.55999755859375
1659841864.1299055,1712128,299.5
1659841924.9512582,1744896,350.9200134277344
