Wall time,Step,Value
1658979290.7343569,4571136,2197.489990234375
1658979327.4758055,4587520,2268.889892578125
1658979401.2061143,4620288,2848.669921875
1658979419.591285,4628480,2876.610107421875
1658979437.953334,4636672,2872.1201171875
1658979511.3741682,4669440,3402.330078125
1658979584.7135344,4702208,3772.669921875
1658979603.0736635,4710400,3928.340087890625
1658979658.1892853,4734976,3866.570068359375
1658979695.0281415,4751360,3982.81005859375
1658979731.8670866,4767744,3952.56005859375
1658979750.2675917,4775936,3976.580078125
1658979768.6110725,4784128,3986.43994140625
1658979786.9970806,4792320,3804.18994140625
1658979823.7509348,4808704,3840.860107421875
1658979841.9976072,4816896,3771.719970703125
1658979933.5916605,4857856,3574.25
1658979951.915552,4866048,3288.6298828125
1658980080.4066987,4923392,2978.56005859375
1658980117.0383136,4939776,3674.35009765625
1658980226.552466,4988928,4366.22998046875
1658980263.7005765,5005312,4438.330078125
1658980355.3756504,5046272,4239.35986328125
1658980446.919924,5087232,3958.3701171875
1658980483.380636,5103616,4019.3798828125
1658980702.7078881,5201920,3820.7099609375
1658980830.8248394,5259264,3426.64990234375
1658980849.1570268,5267456,3298.52001953125
1658980885.7314212,5283840,3312.64990234375
1658980904.1392496,5292032,3311.8701171875
1658980922.9252627,5300224,3277.56005859375
1658980941.3066535,5308416,3259.0400390625
1658980978.369447,5324800,3180.110107421875
1658981033.8489783,5349376,1242.260009765625
1658981107.7658722,5382144,1306.8299560546875
1658981126.2156951,5390336,1306.8499755859375
1658981200.2811894,5423104,1307.0
1658981255.6406589,5447680,1307.0
1658981329.6370764,5480448,1307.0
1658981384.9361792,5505024,1307.02001953125
1658981403.4381258,5513216,1307.0
1658981440.3512247,5529600,1307.0
1658981458.8779693,5537792,1307.0
1658981495.625227,5554176,1287.8699951171875
1658981513.999903,5562368,813.2899780273438
1658981532.4048626,5570560,790.6199951171875
1658981587.5654128,5595136,1133.5350341796875
1658981605.9568608,5603328,1298.9949951171875
1658981624.2048135,5611520,1497.39501953125
1658981660.4164746,5627904,1755.7449951171875
1658981696.9697595,5644288,1917.56494140625
1658981715.1183982,5652480,2051.60498046875
1658981843.3211539,5709824,2751.195068359375
1658981897.8187773,5734400,3111.205078125
1658981970.562227,5767168,3368.820068359375
1658982025.1191795,5791744,3420.489990234375
1658982061.5876794,5808128,3420.489990234375
1658982097.942407,5824512,3447.909912109375
1658982170.6151314,5857280,3315.93994140625
1658982243.0805469,5890048,3303.050048828125
1658982297.7005258,5914624,3301.64990234375
1658982315.9433777,5922816,3301.64990234375
1658982334.088526,5931008,3192.159912109375
1658982352.3521624,5939200,3192.159912109375
1658982461.6584966,5988352,3109.35009765625
1658982570.9990065,6037504,2938.699951171875
1658982607.4910753,6053888,2921.969970703125
1658982625.6658921,6062080,2928.510009765625
1658982698.6935253,6094848,2399.360107421875
1658982753.9286509,6119424,853.5999755859375
1658982772.2336555,6127616,801.7999877929688
1658982826.9276462,6152192,746.2899780273438
1658982845.2931275,6160384,760.7100219726562
1658982863.4628584,6168576,700.7899780273438
1658982899.9023588,6184960,632.0700073242188
1658982936.3067544,6201344,730.010009765625
1658983045.4562702,6250496,1184.199951171875
1658983100.1612358,6275072,1264.875
1658983118.506439,6283264,1424.6949462890625
1658983173.807026,6307840,1818.18994140625
1658983192.3158681,6316032,2043.97998046875
1658983210.802332,6324224,2289.409912109375
1658983247.784981,6340608,2360.715087890625
1658983266.2014232,6348800,2407.985107421875
1658983377.2111652,6397952,1036.2900390625
1658983451.3477833,6430720,1427.824951171875
1658983469.869138,6438912,1579.2950439453125
1658983506.8844686,6455296,1896.06005859375
1658983543.912143,6471680,1979.864990234375
1658983580.8765397,6488064,2111.425048828125
1658983599.1656787,6496256,2237.215087890625
1658983617.5960064,6504448,2257.4150390625
1658983636.540727,6512640,2232.175048828125
1658983655.1818151,6520832,2377.1650390625
1658983711.0963006,6545408,2437.89501953125
1658983748.1011753,6561792,2656.014892578125
1658983785.1304576,6578176,2665.0849609375
1658983840.863643,6602752,2464.31494140625
1658983878.0015516,6619136,2441.340087890625
1658983896.4403102,6627328,2430.304931640625
1658983915.0378075,6635520,2346.14501953125
1658984026.0387013,6684672,2458.985107421875
1658984044.57907,6692864,2438.6201171875
1658984081.63451,6709248,2331.639892578125
1658984136.9652197,6733824,2028.925048828125
1658984210.9441504,6766592,1879.39501953125
1658984266.5153203,6791168,1992.844970703125
1658984321.929665,6815744,1853.1650390625
1658984340.4274461,6823936,1846.9549560546875
1658984377.3457375,6840320,1695.155029296875
1658984414.234841,6856704,1655.2449951171875
1658984451.4177346,6873088,1551.300048828125
1658984544.44232,6914048,1475.219970703125
1658984599.5298455,6938624,1269.31005859375
1658984636.5622716,6955008,1107.7950439453125
1658984912.6359546,7077888,129.0399932861328
1658984986.1179502,7110656,657.5050048828125
1658985022.8300028,7127040,863.9650268554688
1658985041.2186036,7135232,1028.9549560546875
1658985114.648229,7168000,1466.405029296875
1658985151.312016,7184384,1578.3199462890625
1658985224.5713582,7217152,1873.655029296875
1658985261.4974358,7233536,2099.844970703125
1658985298.3680408,7249920,2205.909912109375
1658985353.7508633,7274496,2355.02001953125
1658985390.574436,7290880,2570.7900390625
1658985409.0865726,7299072,2681.5
1658985446.1257112,7315456,2828.030029296875
1658985520.1078236,7348224,2239.77001953125
1658985594.2656105,7380992,2977.75
1658985723.6445298,7438336,3786.110107421875
1658985742.0981252,7446528,3831.090087890625
1658985760.551926,7454720,3919.610107421875
1658985779.0425794,7462912,3855.260009765625
1658985816.0593798,7479296,3578.719970703125
1658985871.5607822,7503872,3449.81005859375
1658985890.066132,7512064,3316.669921875
1658985908.5417123,7520256,3347.510009765625
1658985964.1275446,7544832,1262.06005859375
1658985982.7089372,7553024,729.8800048828125
1658986001.1258545,7561216,1128.3399658203125
1658986019.5910523,7569408,1290.3900146484375
1658986167.104202,7634944,2539.469970703125
1658986185.5974193,7643136,2706.39990234375
1658986241.2117426,7667712,3337.14990234375
1658986370.355496,7725056,3275.949951171875
1658986425.9203851,7749632,574.719970703125
1658986573.4978938,7815168,2789.860107421875
1658986591.8971224,7823360,3119.419921875
1658986628.7082365,7839744,3477.929931640625
1658986647.1139054,7847936,3571.429931640625
1658986665.58723,7856128,3677.6298828125
1658986721.1456745,7880704,3979.7900390625
1658986739.5431194,7888896,4023.820068359375
1658986776.5244293,7905280,3889.760009765625
1658986813.4466796,7921664,4112.77001953125
