Wall time,Step,Value
1660003270.0581963,49152,498.489990234375
1660003358.6445503,98304,527.6500244140625
1660003402.845411,122880,527.6500244140625
1660003417.622173,131072,527.6500244140625
1660003462.1727602,155648,527.6500244140625
1660003550.8291125,204800,527.6500244140625
1660003726.525557,303104,527.6500244140625
1660003785.2750185,335872,527.6500244140625
1660003814.7495236,352256,527.6500244140625
1660003844.1555164,368640,527.6500244140625
1660003858.6428852,376832,527.6500244140625
1660003888.0027485,393216,527.6500244140625
1660003975.9848886,442368,527.6500244140625
1660003990.6996515,450560,527.6500244140625
1660004005.3825884,458752,527.6500244140625
1660004019.9959447,466944,527.6500244140625
1660004152.1202364,540672,527.6500244140625
1660004195.9856927,565248,527.6500244140625
1660004239.9872415,589824,527.6500244140625
1660004254.7071388,598016,527.6500244140625
1660004269.3349836,606208,527.6500244140625
1660004284.0289898,614400,527.6500244140625
1660004357.6682148,655360,527.6500244140625
1660004475.422879,720896,527.6500244140625
1660004490.1883006,729088,527.6500244140625
1660004577.532104,778240,527.6500244140625
1660004694.6995807,843776,527.6500244140625
1660004738.7009733,868352,527.6500244140625
1660004753.309672,876544,527.6500244140625
1660004856.4221523,933888,527.6500244140625
1660004929.5347888,974848,527.6500244140625
1660005046.715467,1040384,527.6500244140625
1660005090.589813,1064960,527.6500244140625
1660005105.0258567,1073152,527.6500244140625
1660005236.522564,1146880,527.6500244140625
1660005265.6517875,1163264,527.6500244140625
1660005280.278518,1171456,527.6500244140625
1660005294.970177,1179648,527.6500244140625
1660005398.3396366,1236992,527.6500244140625
1660005471.3525612,1277952,527.6500244140625
1660005500.7140582,1294336,527.6500244140625
1660005515.3279588,1302528,527.6500244140625
1660005574.0707078,1335296,527.6500244140625
1660005647.0862746,1376256,527.6500244140625
1660005661.5873406,1384448,527.6500244140625
1660005705.758406,1409024,527.6500244140625
1660005794.0883234,1458176,527.6500244140625
1660005808.8762639,1466368,527.6500244140625
1660005838.0435638,1482752,527.6500244140625
1660005882.0021412,1507328,527.6500244140625
1660005911.325494,1523712,527.6500244140625
1660005925.903357,1531904,527.6500244140625
1660005955.3332887,1548288,527.6500244140625
1660005984.5568597,1564672,527.6500244140625
1660005999.2273126,1572864,527.6500244140625
1660006102.640576,1630208,-3400.340087890625
1660006221.4421124,1695744,-3735.81005859375
1660006236.2154324,1703936,-5760.919921875
1660006251.0492833,1712128,-3790.27001953125
1660006311.1055954,1744896,472.45001220703125
1660006461.593903,1826816,487.6499938964844
1660006476.7086122,1835008,589.1799926757812
1660006506.9671671,1851392,596.1799926757812
1660006567.2650394,1884160,391.6600036621094
1660006612.607921,1908736,542.3800048828125
1660006627.6693552,1916928,478.32000732421875
1660006642.7597165,1925120,451.2300109863281
1660006687.8187256,1949696,585.7000122070312
1660006868.3948817,2048000,898.4000244140625
1660006958.8031898,2097152,1161.7099609375
1660007003.9231312,2121728,1162.4000244140625
1660007034.0496743,2138112,1052.550048828125
1660007049.3504617,2146304,1029.8800048828125
1660007079.640743,2162688,812.4500122070312
1660007140.297369,2195456,765.9199829101562
1660007200.5720105,2228224,996.0700073242188
