Wall time,Step,Value
1659838791.8589923,49152,184.55999755859375
1659838882.508122,98304,108.5999984741211
1659838927.6530757,122880,140.85000610351562
1659838942.50193,131072,169.72000122070312
1659838987.9382646,155648,75.08000183105469
1659839079.1497135,204800,72.80000305175781
1659839260.093125,303104,59.189998626708984
1659839320.2303524,335872,53.290000915527344
1659839350.3973975,352256,61.470001220703125
1659839380.7204514,368640,92.9800033569336
1659839395.8725684,376832,71.86000061035156
1659839425.9844368,393216,69.73999786376953
1659839516.404497,442368,86.83999633789062
1659839531.346253,450560,71.98999786376953
1659839546.354938,458752,72.91999816894531
1659839561.5977135,466944,80.6500015258789
1659839697.0415606,540672,77.63999938964844
1659839742.2744005,565248,64.70999908447266
1659839787.6218743,589824,73.5199966430664
1659839802.7653484,598016,64.2699966430664
1659839817.9760187,606208,69.05999755859375
1659839833.1029212,614400,74.86000061035156
1659839908.665754,655360,74.69000244140625
1659840029.8553238,720896,70.69000244140625
1659840044.772142,729088,77.61000061035156
1659840135.3882093,778240,71.2300033569336
1659840256.608812,843776,73.02999877929688
1659840302.1547112,868352,72.72000122070312
1659840317.261007,876544,71.7300033569336
1659840423.200987,933888,80.0
1659840499.041463,974848,61.68000030517578
1659840620.2791562,1040384,79.06999969482422
1659840665.766952,1064960,76.37999725341797
1659840680.961287,1073152,80.83999633789062
1659840817.6370287,1146880,62.529998779296875
1659840848.1386683,1163264,52.41999816894531
1659840863.3780546,1171456,58.47999954223633
1659840878.5894551,1179648,64.31999969482422
1659840984.741537,1236992,58.81999969482422
1659841060.6200907,1277952,59.439998626708984
1659841090.8418655,1294336,76.27999877929688
1659841105.8238726,1302528,54.66999816894531
1659841166.3263834,1335296,70.06999969482422
1659841241.9768977,1376256,65.56999969482422
1659841257.1308005,1384448,71.25
1659841302.8007383,1409024,65.76000213623047
1659841393.812531,1458176,72.55999755859375
1659841408.9444666,1466368,64.19999694824219
1659841439.2388089,1482752,78.19999694824219
1659841485.0162776,1507328,80.62999725341797
1659841515.2758062,1523712,69.47000122070312
1659841530.3892312,1531904,69.61000061035156
1659841560.7412598,1548288,82.25
1659841590.9019754,1564672,76.16999816894531
1659841606.0822654,1572864,73.19000244140625
1659841712.0415568,1630208,64.48999786376953
1659841833.6757078,1695744,76.66000366210938
1659841848.8845155,1703936,73.16000366210938
1659841864.1299055,1712128,113.02999877929688
1659841924.9512582,1744896,125.9800033569336
1659842077.017587,1826816,102.08999633789062
1659842092.21473,1835008,97.9000015258789
1659842122.7127898,1851392,127.54000091552734
1659842183.6021123,1884160,124.13999938964844
1659842228.9743547,1908736,101.11000061035156
1659842244.1537297,1916928,91.3499984741211
1659842259.3416245,1925120,96.62999725341797
1659842305.136352,1949696,140.82000732421875
1659842490.4853547,2048000,139.52000427246094
1659842581.0359328,2097152,164.24000549316406
1659842626.1833801,2121728,160.77999877929688
1659842657.0791764,2138112,145.75999450683594
1659842672.090407,2146304,142.5
1659842702.2185848,2162688,155.52000427246094
1659842762.5237517,2195456,119.0199966430664
1659842823.256325,2228224,146.8300018310547
1659842853.645204,2244608,136.00999450683594
1659842929.6686053,2285568,151.74000549316406
1659843141.460763,2400256,122.58000183105469
1659843217.3814201,2441216,158.86000061035156
1659843232.5320873,2449408,168.05999755859375
1659843293.0913281,2482176,153.30999755859375
1659843308.4210107,2490368,141.75
1659843369.070259,2523136,172.92999267578125
1659843384.3009462,2531328,197.11000061035156
1659843414.6319313,2547712,197.3800048828125
1659843460.139632,2572288,170.67999267578125
1659843536.4102533,2613248,156.42999267578125
1659843551.3605394,2621440,140.6699981689453
1659843566.3568802,2629632,124.56999969482422
1659843641.581904,2670592,152.08999633789062
1659843656.6708663,2678784,140.57000732421875
1659843671.7889724,2686976,159.3300018310547
1659843716.6403959,2711552,177.14999389648438
1659843852.3013794,2785280,117.05000305175781
1659843882.1571026,2801664,132.42999267578125
1659843971.8693445,2850816,132.82000732421875
1659844061.917141,2899968,173.67999267578125
1659844076.75705,2908160,84.2300033569336
1659844166.576553,2957312,148.49000549316406
1659844211.2725782,2981888,129.88999938964844
1659844271.2479231,3014656,133.77999877929688
1659844330.998571,3047424,154.9499969482422
1659844360.8834717,3063808,158.38999938964844
1659844420.681615,3096576,167.75999450683594
1659844435.6061666,3104768,133.50999450683594
1659844450.9441411,3112960,166.39999389648438
1659844480.8475647,3129344,129.25999450683594
1659844555.428251,3170304,169.50999450683594
1659844630.1372535,3211264,123.68000030517578
1659844645.0284727,3219456,119.0999984741211
1659844883.1667411,3350528,165.94000244140625
1659844986.7928467,3407872,184.5399932861328
1659845075.7536151,3457024,136.11000061035156
1659845090.529151,3465216,143.1300048828125
1659845120.4951682,3481600,211.8800048828125
1659845150.292883,3497984,259.94000244140625
1659845209.9923553,3530752,147.41000366210938
1659845343.9541914,3604480,207.27999877929688
1659845373.6536844,3620864,192.02000427246094
1659845388.3842328,3629056,203.85000610351562
1659845432.7078063,3653632,179.16000366210938
1659845521.3953311,3702784,193.6999969482422
1659845639.748781,3768320,175.1300048828125
1659845654.4928238,3776512,156.08999633789062
1659845698.9756925,3801088,189.85000610351562
1659845713.8627422,3809280,214.5800018310547
1659845846.8427513,3883008,255.05999755859375
1659845861.6267848,3891200,282.25
1659846023.922491,3981312,220.97000122070312
1659846068.2445307,4005888,189.6999969482422
1659846083.141696,4014080,174.7100067138672
1659846112.6684332,4030464,222.52000427246094
1659846142.2869189,4046848,262.1700134277344
1659846350.2064133,4161536,224.99000549316406
1659846423.9656723,4202496,188.13999938964844
1659846453.448834,4218880,198.85000610351562
1659846497.7999346,4243456,215.8000030517578
1659846527.3126047,4259840,232.39999389648438
1659846601.0058315,4300800,185.64999389648438
1659846615.8836513,4308992,200.2899932861328
1659846704.7552915,4358144,208.13999938964844
1659846734.352756,4374528,194.11000061035156
1659846749.1860497,4382720,190.02999877929688
1659846778.6889474,4399104,201.47000122070312
1659846793.3431263,4407296,244.17999267578125
1659846837.6881309,4431872,210.57000732421875
1659846867.1705499,4448256,213.47000122070312
1659846941.087649,4489216,148.14999389648438
1659846955.8889627,4497408,141.5500030517578
1659847088.7547405,4571136,190.7899932861328
1659847118.1856203,4587520,214.47999572753906
1659847177.7562366,4620288,243.13999938964844
1659847192.614653,4628480,234.16000366210938
1659847207.3754058,4636672,234.25
1659847266.4246209,4669440,218.74000549316406
1659847325.5404058,4702208,247.22999572753906
1659847340.2999625,4710400,249.24000549316406
1659847384.3701224,4734976,252.39999389648438
1659847414.159811,4751360,254.02000427246094
1659847443.5778227,4767744,237.55999755859375
1659847458.3699074,4775936,241.11000061035156
1659847473.0807433,4784128,256.57000732421875
1659847487.977147,4792320,223.72999572753906
1659847517.303595,4808704,238.8699951171875
1659847532.050531,4816896,245.69000244140625
1659847605.851513,4857856,256.2799987792969
1659847620.6166816,4866048,245.1999969482422
1659847724.3886778,4923392,249.08999633789062
1659847753.9381022,4939776,280.739990234375
1659847842.4850037,4988928,258.19000244140625
1659847872.35504,5005312,259.5299987792969
1659847946.2644148,5046272,254.5399932861328
1659848020.2204623,5087232,252.2899932861328
1659848049.9624596,5103616,255.50999450683594
1659848227.4639478,5201920,269.8500061035156
1659848331.0827448,5259264,227.38999938964844
1659848345.7351072,5267456,240.9600067138672
1659848374.7009997,5283840,216.88999938964844
1659848389.5299258,5292032,225.75
1659848404.3734534,5300224,241.86000061035156
1659848419.2482138,5308416,267.05999755859375
1659848448.6153061,5324800,263.4100036621094
1659848492.8892977,5349376,276.4800109863281
1659848551.8610857,5382144,273.1300048828125
1659848566.671105,5390336,243.22000122070312
1659848625.712304,5423104,175.74000549316406
1659848670.002344,5447680,269.69000244140625
1659848729.0310628,5480448,279.5199890136719
1659848773.182709,5505024,329.4200134277344
1659848787.9269068,5513216,336.010009765625
1659848817.3632371,5529600,399.8500061035156
1659848832.0539463,5537792,399.57000732421875
1659848861.6586852,5554176,364.9100036621094
1659848876.4758513,5562368,355.5799865722656
1659848891.2163384,5570560,343.1000061035156
1659848935.4003127,5595136,245.97000122070312
1659848950.0874615,5603328,279.1199951171875
1659848965.114788,5611520,333.3500061035156
1659848994.705561,5627904,363.6199951171875
1659849024.0707233,5644288,288.3500061035156
1659849038.8755734,5652480,271.3299865722656
1659849142.320394,5709824,307.0
1659849186.7822964,5734400,310.6600036621094
1659849246.0025053,5767168,297.5899963378906
1659849289.8925078,5791744,322.3999938964844
1659849319.6795206,5808128,321.4700012207031
1659849349.2200375,5824512,303.239990234375
1659849408.529829,5857280,324.29998779296875
1659849467.7173913,5890048,291.79998779296875
1659849512.0978417,5914624,273.510009765625
1659849527.2292216,5922816,291.80999755859375
1659849542.0077353,5931008,316.3599853515625
1659849556.829429,5939200,339.95001220703125
1659849645.378932,5988352,267.7900085449219
1659849734.3426554,6037504,263.9200134277344
1659849764.2269993,6053888,269.2900085449219
1659849779.0591543,6062080,306.4200134277344
1659849838.2180362,6094848,244.5
1659849882.7780628,6119424,297.3399963378906
1659849897.6506414,6127616,292.2799987792969
1659849942.0032449,6152192,300.75
1659849956.6541023,6160384,313.1199951171875
1659849971.4396582,6168576,315.8299865722656
